ID	Cluster_ID
mol_0	3
mol_1	2
mol_2	8
mol_3	8
mol_4	8
mol_5	3
mol_6	7
mol_7	2
mol_8	7
mol_9	3
mol_10	2
mol_11	2
mol_12	8
mol_13	1
mol_14	2
mol_15	8
mol_16	8
mol_17	1
mol_18	1
mol_19	5
mol_20	1
mol_21	8
mol_22	2
mol_23	3
mol_24	7
mol_25	7
mol_26	7
mol_27	5
mol_28	1
mol_29	5
mol_30	7
mol_31	2
mol_32	3
mol_33	8
mol_34	2
mol_35	3
mol_36	7
mol_37	1
mol_38	1
mol_39	3
mol_40	2
mol_41	8
mol_42	2
mol_43	8
mol_44	2
mol_45	1
mol_46	1
mol_47	1
mol_48	2
mol_49	0
mol_50	2
mol_51	1
mol_52	1
mol_53	1
mol_54	2
mol_55	3
mol_56	7
mol_57	8
mol_58	1
mol_59	8
mol_60	2
mol_61	8
mol_62	2
mol_63	8
mol_64	1
mol_65	8
mol_66	8
mol_67	3
mol_68	3
mol_69	8
mol_70	2
mol_71	0
mol_72	2
mol_73	8
mol_74	3
mol_75	2
mol_76	1
mol_77	8
mol_78	3
mol_79	8
mol_80	2
mol_81	2
mol_82	2
mol_83	1
mol_84	7
mol_85	3
mol_86	3
mol_87	3
mol_88	2
mol_89	3
mol_90	8
mol_91	8
mol_92	1
mol_93	8
mol_94	8
mol_95	7
mol_96	3
mol_97	1
mol_98	7
mol_99	1
mol_100	2
mol_101	2
mol_102	1
mol_103	8
mol_104	5
mol_105	2
mol_106	8
mol_107	3
mol_108	1
mol_109	7
mol_110	8
mol_111	7
mol_112	3
mol_113	2
mol_114	1
mol_115	2
mol_116	2
mol_117	0
mol_118	1
mol_119	1
mol_120	8
mol_121	1
mol_122	8
mol_123	1
mol_124	7
mol_125	5
mol_126	7
mol_127	8
mol_128	2
mol_129	2
mol_130	7
mol_131	3
mol_132	6
mol_133	2
mol_134	1
mol_135	2
mol_136	7
mol_137	1
mol_138	8
mol_139	8
mol_140	2
mol_141	8
mol_142	5
mol_143	2
mol_144	7
mol_145	3
mol_146	6
mol_147	3
mol_148	8
mol_149	1
mol_150	2
mol_151	1
mol_152	2
mol_153	8
mol_154	8
mol_155	8
mol_156	7
mol_157	2
mol_158	2
mol_159	8
mol_160	1
mol_161	3
mol_162	3
mol_163	2
mol_164	8
mol_165	3
mol_166	5
mol_167	2
mol_168	2
mol_169	2
mol_170	8
mol_171	1
mol_172	1
mol_173	8
mol_174	1
mol_175	2
mol_176	3
mol_177	3
mol_178	3
mol_179	1
mol_180	1
mol_181	1
mol_182	1
mol_183	1
mol_184	2
mol_185	8
mol_186	5
mol_187	3
mol_188	2
mol_189	6
mol_190	1
mol_191	8
mol_192	8
mol_193	2
mol_194	2
mol_195	1
mol_196	6
mol_197	3
mol_198	7
mol_199	8
mol_200	2
mol_201	2
mol_202	2
mol_203	7
mol_204	3
mol_205	3
mol_206	3
mol_207	2
mol_208	2
mol_209	2
mol_210	6
mol_211	2
mol_212	8
mol_213	2
mol_214	2
mol_215	3
mol_216	8
mol_217	8
mol_218	8
mol_219	1
mol_220	1
mol_221	8
mol_222	8
mol_223	2
mol_224	2
mol_225	1
mol_226	1
mol_227	2
mol_228	0
mol_229	2
mol_230	1
mol_231	7
mol_232	2
mol_233	1
mol_234	1
mol_235	8
mol_236	1
mol_237	2
mol_238	8
mol_239	1
mol_240	3
mol_241	1
mol_242	1
mol_243	1
mol_244	0
mol_245	7
mol_246	2
mol_247	2
mol_248	3
mol_249	2
mol_250	7
mol_251	2
mol_252	8
mol_253	2
mol_254	8
mol_255	3
mol_256	7
mol_257	2
mol_258	2
mol_259	3
mol_260	2
mol_261	3
